event_id,energy_segment_0,zcr_segment_0,centroid_segment_0,energy_segment_1,zcr_segment_1,centroid_segment_1,energy_segment_2,zcr_segment_2,centroid_segment_2,energy_segment_3,zcr_segment_3,centroid_segment_3,energy_segment_4,zcr_segment_4,centroid_segment_4,envelope_mean,envelope_std,envelope_max,envelope_skew,hours_to_event
1,4.692680899768591,578.1683642569008,2421.55266616162,30.101214309175212,596.7823378925085,2581.419288767493,13.167456935454494,583.3406699005172,1709.9918336731575,9.129425537759532,513.4371021882873,1421.7920916280716,1.6962487046234629,470.3992369539011,2425.0396662087765,0.13848827619786191,0.2686855591418098,0.8155836624453181,0.9919743970058761,13.979536364248235
2,1.695962919146052,477.30900745197323,2208.8403761197005,0.5983876860868067,470.7637579470979,2053.7221871704464,20.112308644799395,670.0655145300597,2193.685740316495,9.190821536272646,589.0335083421293,2161.592741229103,12.312500617045902,58.94170480035797,2641.9084299267806,1.044917073197543,0.25234854129390316,1.4210589820683632,0.6562994478921265,36.69717614271032
3,0.20799307999138622,598.3851164794642,2647.4927924084777,35.03557475158312,529.2104292078162,2272.1101761701734,17.86429543354675,497.1936865331154,2422.901436281464,2.3868762524894698,441.72223203666715,2257.031276212388,2.0067898874966335,668.616907997902,1769.4151339826906,0.009613535210298752,0.11165944077247142,0.22021602667866993,0.32714294761189283,10.37686929225983
4,2.0261142283225704,642.1289693184287,2378.28233745657,3.627537294604771,384.06834982645864,1302.7524655703692,7.439278308608545,561.0578430686803,2526.9457761479416,5.655370667803367,354.2514898188071,1402.7385301169825,3.442229925539415,293.0572752816604,2142.9016433973666,0.6592330581566589,0.2996842467847548,1.1177475684340803,0.7271241170982952,34.599083399872896
5,9.463708738997987,405.9924163115052,1577.4230207869205,1.5023452872733867,629.3590208574138,2276.6944915372133,3.4551551200240227,642.968756806413,1983.0373870360456,4.56277218220847,576.962813014594,1202.6220209183339,6.08934687859775,608.7643680271996,2210.3498155092393,1.3523769786089357,0.25048049074389345,1.8049811012784507,0.4366640908131501,5.4080187001776014
6,15.379360110309118,577.4267430672437,1711.0396115836447,2.227358621286903,403.77776071655717,2440.5733604066845,7.220291550331277,564.7883817010911,2000.6628443672037,8.975047213097605,620.0614287841523,2197.710492694019,0.47563849756408544,613.1436994720361,1521.215522492394,0.5353006354642001,0.27278066325882266,1.2193282760935054,0.7748969962855119,21.106807666916456
7,9.353330206496102,678.3370057211964,1705.333884286319,1.8696125197741642,606.2455770801596,1770.6806819494577,0.6726393087930425,552.7172311312374,2428.351240121278,29.73687793506931,660.5225357474641,2838.6885439027446,33.706303424611725,496.021811112641,1597.414124128562,0.28904325156278105,0.23023954241906927,0.7619534206491164,0.6613352804328726,27.539190656112794
8,16.523315728128768,367.71880231584237,2538.4240723288403,3.632878599687583,475.5399554084354,915.161291137149,1.0277731500250624,388.26460327903266,1402.9052994538554,11.527507630986618,398.72325875384274,1520.6107719066126,5.800908425853983,478.3221993926723,1323.7456552796389,0.022959678090591403,0.27125702560935244,0.9190381606985423,-0.08862831309434671,9.848635802075322
9,1.3015223395444864,381.1370118500058,1208.20580510621,6.835472281341501,453.805770554144,2206.499456068899,0.34993721443479087,215.95779995693215,1892.9661511360694,24.004228873930238,531.9940561059408,2189.702698802555,2.994577768406861,500.1808213043336,2345.2363430607566,1.2635761618959942,0.12247659498574189,1.5203732285184572,0.2991840734089945,12.122334182147284
10,10.862557985649804,377.4367053397714,2132.8084965862668,3.7354658165762364,598.8868502648608,2328.8815880751868,7.341108959092287,640.6355206439838,1965.2338568788653,7.912237979817975,258.86602034465386,1406.5033058471276,2.0438859950790573,385.59128321506785,2528.9070904103983,0.3177186697118095,0.1695475671118631,0.6618741104998488,0.688877044567078,19.65456320313801
11,34.92807132736226,384.62864753190524,1705.4439336094365,14.922453771381408,359.01453483367027,1532.201850618787,28.05094419291582,624.4212262897622,1911.041062097801,22.521519975341967,470.92607918407947,1543.5945403517435,9.11054412383275,460.3227738034084,1791.284809005284,0.014712728899168147,0.27528418872089855,0.5798963457580235,0.5303314544290035,14.827500778343229
